CODE,ONHAND,,,,,,,,,,,,,,,,
0317NAV-2XS,2,,,,,,,,,,,,,,,,
0317NAV-3XL,4,,,,,,,,,,,,,,,,
0317NAV-L,15,,,,,,,,,,,,,,,,
0317NAV-M,1,,,,,,,,,,,,,,,,
0317NAV-S,17,,,,,,,,,,,,,,,,
0317NAV-XL,10,,,,,,,,,,,,,,,,
0317NAV-XS,12,,,,,,,,,,,,,,,,
0317WHT-2XL,2,,,,,,,,,,,,,,,,
0317WHT-2XS,2,,,,,,,,,,,,,,,,
0317WHT-3XL,0,,,,,,,,,,,,,,,,
0317WHT-L,3,,,,,,,,,,,,,,,,
0317WHT-M,11,,,,,,,,,,,,,,,,
0317WHT-S,11,,,,,,,,,,,,,,,,
0317WHT-XL,4,,,,,,,,,,,,,,,,
0317WHT-XS,11,,,,,,,,,,,,,,,,
32015,0,,,,,,,,,,,,,,,,
32016,0,,,,,,,,,,,,,,,,
032016-MER,0,,,,,,,,,,,,,,,,
320600001,6,,,,,,,,,,,,,,,,
320801002,3,,,,,,,,,,,,,,,,
321,0,,,,,,,,,,,,,,,,
03317-622-M-9,0,,,,,,,,,,,,,,,,
033201-6,0,,,,,,,,,,,,,,,,
033243-10,0,,,,,,,,,,,,,,,,
033243-6,0,,,,,,,,,,,,,,,,
033243-9,0,,,,,,,,,,,,,,,,
3520,0,,,,,,,,,,,,,,,,
3818,0,,,,,,,,,,,,,,,,
3825,0,,,,,,,,,,,,,,,,
3859,0,,,,,,,,,,,,,,,,
3867,0,,,,,,,,,,,,,,,,
3870,0,,,,,,,,,,,,,,,,
3871,0,,,,,,,,,,,,,,,,
3897,0,,,,,,,,,,,,,,,,
04059710-11,0,,,,,,,,,,,,,,,,
04059710-9.5,0,,,,,,,,,,,,,,,,
0409-055-R-5-6,0,,,,,,,,,,,,,,,,
04097604-10.5,0,,,,,,,,,,,,,,,,
04097604-11,0,,,,,,,,,,,,,,,,
04097704-10.5,0,,,,,,,,,,,,,,,,
04122701-10,0,,,,,,,,,,,,,,,,
04122701-11,1,,,,,,,,,,,,,,,,
04122701-8,0,,,,,,,,,,,,,,,,
04122701-9,0,,,,,,,,,,,,,,,,
04122710-8,0,,,,,,,,,,,,,,,,
04122710-9,0,,,,,,,,,,,,,,,,
04122735-10,0,,,,,,,,,,,,,,,,
04122735-11,0,,,,,,,,,,,,,,,,
04123202-M,0,,,,,,,,,,,,,,,,
04123202-S,0,,,,,,,,,,,,,,,,
04126506-S,0,,,,,,,,,,,,,,,,
04126507-M,1,,,,,,,,,,,,,,,,
04126507-S,0,,,,,,,,,,,,,,,,
04129401-L,0,,,,,,,,,,,,,,,,
0413-055J-B-24,1,,,,,,,,,,,,,,,,
04132801-M,1,,,,,,,,,,,,,,,,
04132801-S,1,,,,,,,,,,,,,,,,
04144222-10,0,,,,,,,,,,,,,,,,
